Timestamp,Cash Balance,Total Equity,Unrealized PnL
2020-02-24 05:00:00+00:00,61353.4,100000.0,0.0
2020-02-25 05:00:00+00:00,301.76,98792.6,-1207.4
2020-02-26 05:00:00+00:00,120.19,98569.79,-1525.35
2020-02-27 05:00:00+00:00,232.06,94277.09,-5636.6
2020-02-28 05:00:00+00:00,10705.54,93233.74,-4145.57
2020-03-02 05:00:00+00:00,31443.78,96425.24,-639.57
2020-03-03 05:00:00+00:00,14551.48,98815.08,409.47
2020-03-04 05:00:00+00:00,42222.46,101227.66,1320.92
2020-03-05 05:00:00+00:00,18081.38,105194.16,2739.79
2020-03-06 05:00:00+00:00,35636.57,105922.67,4177.57
2020-03-09 04:00:00+00:00,4717.97,112401.17,10919.27
2020-03-10 04:00:00+00:00,57896.57,113068.57,5205.14
2020-03-11 04:00:00+00:00,24595.07,114270.07,-1314.0
2020-03-12 04:00:00+00:00,283.18,106429.36,-8768.19
2020-03-13 04:00:00+00:00,45603.45,116465.57,227.85
2020-03-16 04:00:00+00:00,27179.82,107621.98,-7622.95
2020-03-17 04:00:00+00:00,49835.85,112822.08,-2723.17
2020-03-18 04:00:00+00:00,42307.18,108800.18,-6298.77
2020-03-19 04:00:00+00:00,14898.48,112000.58,-2840.29
2020-03-20 04:00:00+00:00,38607.02,109149.78,-4698.29
2020-03-23 04:00:00+00:00,14198.8,107761.9,-5478.58
2020-03-24 04:00:00+00:00,44924.3,116461.4,520.82
Final Snapshot,44924.3,116461.4,520.82
